station_name,badge_number,exception_date,exception_start_time,hours,exception_group,exception_source
4 District B Platoon,98260,20220521,9:30,1,Training,Scheduled Hours Exceptions
4 District B Platoon,98260,20220521,11:00,1,Training,Scheduled Hours Exceptions
4 District D Platoon,98341,20220522,18:00,12,Accrued,Voluntary Time Off
4 District D Platoon,98316,20220522,19:00,12,Accrued,Voluntary Time Off
4 District D Platoon,97130,20220522,18:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98024,20220524,8:00,9,Training,Scheduled Hours Exceptions
4 District B Platoon,97843,20220525,12:00,4,Training,Scheduled Hours Exceptions
4 District C Platoon,98264,20220527,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,97130,20220527,6:00,12,Sick,Sick
4 District D Platoon,98341,20220317,6:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98341,20220318,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98206,20220319,4:00,3,Stat Holiday,Voluntary Time Off
4 District D Platoon,98341,20220319,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97130,20220319,18:00,12,Accrued,Voluntary Time Off
4 District B Platoon,97995,20220320,6:00,12,Sick,Sick
4 District B Platoon,98260,20220320,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,98167,20220320,7:00,12,Sick,Sick
4 District B Platoon,97995,20220321,6:00,12,Sick,Sick
4 District B Platoon,98260,20220321,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,98167,20220321,7:00,12,Sick,Sick
4 District C Platoon,97868,20220322,7:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97851,20220322,7:00,10,Training,Scheduled Hours Exceptions
4 District C Platoon,98096,20220322,6:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,97995,20220322,18:00,12,Sick,Sick
4 District B Platoon,98167,20220322,19:00,12,Sick,Sick
4 District C Platoon,97851,20220323,7:00,10,Training,Scheduled Hours Exceptions
4 District C Platoon,98096,20220323,6:00,8,Stat Holiday,Voluntary Time Off
4 District C Platoon,98096,20220323,14:00,4,Accrued,Voluntary Time Off
4 District B Platoon,97995,20220323,18:00,12,Sick,Sick
4 District B Platoon,98167,20220323,15:00,12,Sick,Sick
4 District C Platoon,97851,20220324,18:00,4,Accrued,Voluntary Time Off
4 District C Platoon,97851,20220324,22:00,8,Stat Holiday,Voluntary Time Off
4 District C Platoon,98096,20220324,18:00,12,Accrued,Voluntary Time Off
4 District D Platoon,98206,20220325,12:00,7,Accrued,Voluntary Time Off
4 District C Platoon,97851,20220325,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98096,20220325,18:00,12,Accrued,Voluntary Time Off
4 District D Platoon,97130,20220325,6:00,12,Sick,Sick
4 District D Platoon,98206,20220326,19:00,12,Accrued,Voluntary Time Off
4 District D Platoon,98206,20220327,19:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98262,20220328,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,98262,20220329,7:00,10,Training,Scheduled Hours Exceptions
4 District C Platoon,97851,20220330,6:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98260,20220330,19:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97843,20220331,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,97580,20220331,7:00,9,Training,Scheduled Hours Exceptions
4 District C Platoon,97851,20220331,6:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,96564,20220331,7:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98260,20220331,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97851,20220401,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97851,20220402,18:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98198,20220404,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,97843,20220224,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,97843,20220225,7:00,10,Training,Scheduled Hours Exceptions
4 District C Platoon,98264,20220226,7:00,4,Training,Scheduled Hours Exceptions
4 District C Platoon,97851,20220226,6:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98188,20220226,7:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98188,20220227,7:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,98206,20220228,7:00,10,Training,Scheduled Hours Exceptions
4 District D Platoon,98206,20220301,7:00,10,Training,Scheduled Hours Exceptions
4 District D Platoon,97943,20220302,19:00,12,Accrued,Voluntary Time Off
4 District B Platoon,97995,20220304,8:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,97995,20220305,17:00,1,Accrued,Voluntary Time Off
4 District B Platoon,97843,20220306,19:00,12,Accrued,Voluntary Time Off
4 District B Platoon,97843,20220307,19:00,12,Accrued,Voluntary Time Off
4 District C Platoon,97851,20220307,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,97590,20220307,18:00,12,Sick,Sick
4 District C Platoon,96564,20220309,19:00,2,Accrued,Voluntary Time Off
4 District D Platoon,98189,20220309,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,98260,20220309,8:00,1,Training,Scheduled Hours Exceptions
4 District B Platoon,98260,20220309,9:30,1,Training,Scheduled Hours Exceptions
4 District B Platoon,97843,20220312,12:00,7,Sick,Sick
4 District B Platoon,98262,20220312,7:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220312,6:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98262,20220313,7:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220313,6:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98264,20220314,7:00,12,Sick,Sick
4 District B Platoon,98024,20220314,18:00,12,Sick,Sick
4 District B Platoon,97843,20220314,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,98262,20220314,19:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220314,18:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98264,20220315,7:00,12,Sick,Sick
4 District B Platoon,98024,20220315,18:00,12,Sick,Sick
4 District C Platoon,96564,20220315,7:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98262,20220315,19:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220315,18:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98260,20220315,19:00,12,Sick,Sick
4 District C Platoon,98264,20220316,19:00,12,Sick,Sick
4 District D Platoon,98341,20220316,6:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98264,20220317,19:00,12,Sick,Sick
4 District B Platoon,97989,20220101,18:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98126,20220101,19:00,12,Sick,Sick
4 District C Platoon,97807,20220101,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97955,20220101,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97807,20220102,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97955,20220102,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98206,20220104,7:00,12,Sick,Sick
4 District C Platoon,98264,20220104,1:00,6,Sick,Sick
4 District D Platoon,97580,20220105,7:00,10,Training,Scheduled Hours Exceptions
4 District D Platoon,97580,20220106,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,97955,20220107,6:00,12,Accrued,Voluntary Time Off
4 District D Platoon,97580,20220107,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,97590,20220107,6:00,12,Sick,Sick
4 District B Platoon,97955,20220108,6:00,12,Accrued,Voluntary Time Off
4 District B Platoon,97590,20220108,6:00,12,Sick,Sick
4 District B Platoon,97955,20220109,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97851,20220109,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220109,18:00,12,Sick,Sick
4 District C Platoon,97851,20220110,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220110,18:00,12,Sick,Sick
4 District B Platoon,98260,20220110,5:00,2,Accrued,Voluntary Time Off
4 District C Platoon,96564,20220111,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,97580,20220111,6:00,12,Sick,Sick
4 District D Platoon,96365,20220111,7:00,12,Sick,Sick
4 District D Platoon,98206,20220112,7:00,12,Sick,Sick
4 District C Platoon,97851,20220112,2:00,4,Accrued,Voluntary Time Off
4 District C Platoon,96564,20220112,19:00,1,Accrued,Voluntary Time Off
4 District D Platoon,97580,20220112,6:00,12,Sick,Sick
4 District D Platoon,96365,20220112,7:00,12,Sick,Sick
4 District D Platoon,97580,20220113,18:00,12,Sick,Sick
4 District D Platoon,96365,20220113,19:00,12,Sick,Sick
4 District D Platoon,97580,20220114,18:00,12,Sick,Sick
4 District D Platoon,96365,20220114,19:00,12,Sick,Sick
4 District B Platoon,98260,20220115,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,98260,20220117,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97359,20220118,5:00,12,Sick,Sick
4 District B Platoon,98260,20220118,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,96564,20220119,19:00,2,Accrued,Voluntary Time Off
4 District D Platoon,96365,20220119,7:00,12,Sick,Sick
4 District C Platoon,97359,20220119,19:00,12,Sick,Sick
4 District D Platoon,97943,20220120,7:00,12,Sick,Sick
4 District D Platoon,97580,20220120,6:00,12,Sick,Sick
4 District D Platoon,96365,20220120,7:00,12,Sick,Sick
4 District C Platoon,97359,20220120,19:00,12,Sick,Sick
4 District D Platoon,96365,20220121,19:00,12,Sick,Sick
4 District D Platoon,98292,20220122,4:00,3,Accrued,Voluntary Time Off
4 District D Platoon,97130,20220122,18:00,12,Accrued,Voluntary Time Off
4 District D Platoon,96365,20220122,19:00,12,Sick,Sick
4 District A Platoon,97835,20220123,18:00,12,Sick,Sick
4 District C Platoon,98188,20220124,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98262,20220124,8:00,11,Sick,Sick
4 District C Platoon,98188,20220125,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98262,20220125,19:00,12,Sick,Sick
4 District B Platoon,98260,20220125,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,96564,20220126,7:00,12,Accrued,Voluntary Time Off
4 District C Platoon,97851,20220126,12:00,4,Training,Scheduled Hours Exceptions
4 District C Platoon,98188,20220126,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98262,20220126,19:00,12,Sick,Sick
4 District B Platoon,98260,20220126,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,98206,20220127,7:00,4,Training,Scheduled Hours Exceptions
4 District D Platoon,97130,20220127,6:00,12,Sick,Sick
4 District C Platoon,98188,20220127,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,96564,20220127,2:00,5,Accrued,Voluntary Time Off
4 District D Platoon,97130,20220128,6:00,12,Sick,Sick
4 District C Platoon,98188,20220128,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,96564,20220128,19:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97835,20220129,6:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,98206,20220129,19:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97835,20220130,6:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98206,20220130,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98188,20220131,8:00,8,Training,Scheduled Hours Exceptions
4 District A Platoon,97835,20220131,18:00,11,Accrued,Voluntary Time Off
4 District C Platoon,98188,20220201,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,97590,20220201,7:30,4,Training,Scheduled Hours Exceptions
4 District B Platoon,97995,20220201,8:00,9,Training,Scheduled Hours Exceptions
4 District C Platoon,96564,20220202,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98188,20220202,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,96564,20220203,7:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97580,20220203,8:00,9,Training,Scheduled Hours Exceptions
4 District C Platoon,96564,20220204,19:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97130,20220204,7:30,4,Training,Scheduled Hours Exceptions
4 District D Platoon,98206,20220204,12:00,4,Training,Scheduled Hours Exceptions
4 District C Platoon,97359,20220204,19:00,12,Accrued,Voluntary Time Off
4 District C Platoon,96564,20220205,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97359,20220205,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,98206,20220206,19:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98206,20220207,19:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97590,20220211,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98264,20220213,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,97943,20220213,13:00,6,Accrued,Voluntary Time Off
4 District B Platoon,97995,20220214,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20220214,8:00,8,Training,Scheduled Hours Exceptions
4 District A Platoon,97848,20220214,7:00,12,Sick,Sick
4 District D Platoon,97130,20220215,18:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97995,20220215,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20220215,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,97995,20220216,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20220216,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,97995,20220217,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20220217,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,97995,20220218,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20220218,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,97590,20220219,18:00,12,Sick,Sick
4 District C Platoon,97359,20220220,7:00,10,Training,Scheduled Hours Exceptions
4 District C Platoon,97359,20220221,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,98492,20241231,6:00,12,Sick,Sick
4 District B Platoon,98543,20241231,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98545,20241231,7:00,12,Accrued,Voluntary Time Off
4 District C Platoon,97794,20241224,6:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98594,20241224,6:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98543,20241224,18:00,5,Stat Holiday,Voluntary Time Off
4 District B Platoon,98545,20241224,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97819,20241225,6:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97794,20241225,6:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98594,20241225,6:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98543,20241225,18:00,5,Stat Holiday,Voluntary Time Off
4 District B Platoon,98545,20241225,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97819,20241226,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98286,20241226,7:00,8,Stat Holiday,Voluntary Time Off
4 District D Platoon,98286,20241226,15:00,4,Accrued,Voluntary Time Off
4 District C Platoon,98594,20241226,18:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,101605,20241226,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98405,20241226,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97819,20241227,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98286,20241227,7:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98654,20241227,19:00,4,Vacation,Voluntary Time Off
4 District C Platoon,98654,20241227,23:00,8,Vacation,Voluntary Time Off
4 District C Platoon,98594,20241227,18:00,10,Stat Holiday,Voluntary Time Off
4 District C Platoon,98594,20241227,4:00,2,Accrued,Voluntary Time Off
4 District D Platoon,101605,20241227,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98405,20241227,19:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,98194,20241228,7:00,12,Accrued,Voluntary Time Off
4 District D Platoon,101605,20241228,12:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98220,20241229,6:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98469,20241229,15:00,3,Accrued,Voluntary Time Off
4 District D Platoon,97324,20241229,17:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98194,20241229,7:00,12,Accrued,Voluntary Time Off
4 District D Platoon,101605,20241229,12:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98469,20241230,2:00,4,Accrued,Voluntary Time Off
4 District A Platoon,98511,20241230,18:00,12,Sick,Sick
4 District A Platoon,98194,20241230,19:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97764,20241230,18:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98543,20241230,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98545,20241230,7:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98194,20241231,19:00,12,Accrued,Voluntary Time Off
4 District A Platoon,97764,20241231,19:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97967,20241212,18:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,98469,20241212,16:00,2,Accrued,Voluntary Time Off
4 District A Platoon,98511,20241212,6:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98479,20241212,19:00,12,Sick,Sick
4 District A Platoon,97764,20241212,7:00,1,Accrued,Voluntary Time Off
4 District A Platoon,97764,20241212,8:00,11,Stat Holiday,Voluntary Time Off
4 District D Platoon,97324,20241212,17:00,12,Sick,Sick
4 District D Platoon,98529,20241212,19:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98286,20241212,19:00,12,Sick,Sick
4 District D Platoon,98320,20241213,1:00,2,Vacation,Voluntary Time Off
4 District A Platoon,98220,20241213,6:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,97967,20241213,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98469,20241213,16:00,2,Accrued,Voluntary Time Off
4 District A Platoon,98511,20241213,6:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97764,20241213,7:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,97324,20241213,17:00,12,Sick,Sick
4 District D Platoon,98529,20241213,19:00,12,Vacation,Voluntary Time Off
4 District D Platoon,101605,20241213,12:00,8,Stat Holiday,Voluntary Time Off
4 District D Platoon,101605,20241213,20:00,4,Accrued,Voluntary Time Off
4 District D Platoon,98286,20241213,19:00,12,Sick,Sick
4 District A Platoon,98220,20241214,18:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98511,20241214,18:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98226,20241214,15:00,4,Stat Holiday,Voluntary Time Off
4 District A Platoon,98194,20241214,19:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98492,20241214,6:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97764,20241214,19:00,12,Stat Holiday,Voluntary Time Off
